1778391098.8389711,132.51,132.51,1
1778391099.3413277,130.11,131.31,2
1778391100.213965,129.53,130.72,3
1778391102.0896819,129.58,130.43,4
1778391102.469954,131.25,130.6,5
1778391102.968288,131.12,130.69,6
1778391104.3381007,131.47,130.8,7
1778391106.227872,130.79,130.8,8
1778391106.594694,133.18,131.06,9
1778391106.9711657,135.58,131.51,10
1778391109.2237039,135.41,131.87,11
1778391114.4714003,123.05,131.13,12
1778391114.9669368,123.52,130.55,13
1778391115.349331,124.74,130.13,14
1778391118.3477728,124.42,129.75,15
1778391118.7234225,124.97,129.45,16
1778391119.2203734,126.64,129.29,17
1778391119.7205553,126.46,129.13,18
1778391120.6015308,126.86,129.01,19
1778391121.5952256,127.31,128.93,20
1778391122.9710553,127.49,128.86,21
1778391136.384318,117.45,117.45,1
1778391138.0052736,117.03,117.24,2
1778391140.010244,116.75,117.08,3
1778391140.3881006,118.65,117.47,4
1778391142.134025,117.96,117.57,5
1778391142.6380582,116.17,117.33,6
1778391144.139234,115.75,117.11,7
1778391144.6328373,117.17,117.12,8
1778391146.2612422,116.51,117.05,9
1778391146.768384,114.92,116.84,10
1778391147.7582705,115.63,116.73,11
1778391148.3850417,114.24,116.52,12
1778391148.8892422,113.21,116.27,13
1778391150.5058522,113.18,116.04,14
1778391151.0058274,113.46,115.87,15
1778391151.5126562,112.75,115.68,16
1778391152.1379123,111.11,115.41,17
1778391152.5163584,112.47,115.25,18
1778391153.2647555,111.02,115.02,19
1778391154.2579167,111.04,114.82,20
1778391155.3868766,110.4,114.61,21
1778391156.381842,111.27,114.46,22
1778391157.5104525,111.17,114.32,23
1778391159.385286,132.51,115.08,24
1778391160.2604177,132.24,115.76,25
1778391161.6399763,131.7,116.38,26
1778391162.6353893,131.23,116.93,27
1778391163.010275,132.07,117.47,28
1778391165.0179803,86.13,116.39,29
1778391165.8847437,85.22,115.35,30
1778391166.3883824,86.07,114.4,31
1778391169.2597942,86.1,113.52,32
1778391170.017534,85.49,112.67,33
1778391173.0204036,109.96,112.59,34
1778391175.761067,110.07,112.52,35
1778391179.6492953,109.87,112.44,36
1778391181.2615867,110.02,112.38,37
1778391181.762833,111.24,112.35,38
1778391183.5103521,110.83,112.31,39
1778391185.518208,110.95,112.28,40
