timestamp,frame_interval_ms,frame_jitter_ms,collect_ms,render_ms,lock_wait_ms,total_ms
1778362747.4203887,23.28,3.3,0.03,2.69,0,2.71
1778362748.5793371,23.17,2.45,0.03,3.15,0,3.17
1778362749.7417037,23.25,3.63,0.07,3.17,0,3.25
1778362750.9003313,23.18,2.3,0.03,2.67,0,2.69
1778362752.0571067,23.13,2.2,0.03,3.07,0,3.1
1778362753.217682,23.21,2.14,0.03,3.05,0,3.07
1778362754.3790748,23.23,2.47,0.03,3.1,0,3.13
1778362755.5422802,23.27,2.24,0.03,3.0,0,3.03
1778362756.706175,23.28,2.9,0.05,3.07,0,3.11
1778362757.8660665,23.21,2.29,0.02,2.69,0,2.71
1778362759.0266616,23.2,2.2,0.03,3.08,0,3.11
1778362760.1913552,23.29,4.4,0.03,3.09,0,3.12
1778362761.3560567,23.3,6.87,0.03,2.98,0,3.01
1778362762.516574,23.17,2.17,0.03,3.01,0,3.04
1778362763.6762815,23.23,3.06,0.03,3.06,0,3.08
1778362764.8397508,23.28,2.25,0.03,2.73,0,2.76
1778362766.004438,23.29,7.46,0.03,3.1,0,3.13
1778362767.1651814,23.22,2.43,0.03,3.07,0,3.1
1778362768.3257146,23.22,2.2,0.03,2.65,0,2.68
1778362769.4910862,23.3,5.91,0.03,3.04,0,3.07
1778362770.6535082,23.24,2.24,0.07,3.19,0,3.26
1778362771.8127253,23.19,2.31,0.03,3.04,0,3.07
1778362772.9692712,23.13,2.52,0.03,3.05,0,3.07
1778362774.136689,23.35,5.61,0.03,3.05,0,3.08
1778362775.294899,23.17,2.3,0.04,2.98,0,3.03
1778362776.4634032,23.37,12.35,0.03,3.09,0,3.12
1778362777.6213562,23.16,2.58,0.03,3.06,0,3.09
1778362778.7889335,23.35,2.75,0.03,3.1,0,3.14
1778362779.9528148,23.28,3.17,0.03,3.11,0,3.14
1778362781.1168709,23.28,2.79,0.03,3.06,0,3.09
1778362782.2761538,23.19,1.09,0.01,3.01,0,3.02
1778362783.4353626,23.18,1.21,0.02,3.11,0,3.13
1778362784.5923457,23.15,2.06,0.01,2.61,0,2.62
1778362785.7491047,23.12,2.27,0.03,3.2,0,3.22
1778362786.9049563,23.12,1.37,0.01,3.11,0,3.13
1778362788.0622554,23.15,1.17,0.01,2.96,0,2.98
1778362789.2211764,23.18,5.67,0.01,3.04,0,3.05
1778362790.379587,23.17,3.69,0.01,3.0,0,3.01
1778362791.5387301,23.18,1.03,0.01,3.08,0,3.09
1778362792.692911,23.09,1.51,0.01,2.69,0,2.71
1778362793.8499558,23.14,3.07,0.01,2.62,0,2.63
1778362795.0053446,23.1,0.96,0.01,3.02,0,3.04
1778362796.1620376,23.13,1.78,0.01,2.98,0,2.99
1778362797.318373,23.13,1.09,0.01,2.98,0,3.0
1778362798.478232,23.2,6.14,0.01,2.94,0,2.95
1778362799.633316,23.11,1.11,0.01,2.63,0,2.64
1778362800.729769,21.96,4.6,0.02,1.26,0,1.28
1778362801.795466,21.32,0.53,0.0,1.25,0,1.26
1778362802.86208,21.33,0.44,0.0,1.24,0,1.24
1778362803.9287457,21.33,0.42,0.01,1.22,0,1.22
1778362804.9995234,21.37,2.4,0.02,3.55,0,3.57
1778362806.1542385,23.11,2.26,0.01,3.01,0,3.02
1778362807.3127978,23.17,1.12,0.01,3.02,0,3.03
1778362808.4699142,23.14,1.17,0.01,3.0,0,3.01
1778362809.6298325,23.2,4.19,0.01,3.03,0,3.04
1778362810.7919548,23.25,3.61,0.01,2.71,0,2.72
1778362811.950642,23.17,3.1,0.01,2.99,0,3.01
1778362813.1048481,23.08,1.12,0.01,2.96,0,2.97
1778362814.2605026,23.11,1.04,0.01,2.96,0,2.98
1778362815.4168663,23.13,1.67,0.01,3.03,0,3.04
1778362816.5725706,23.11,1.15,0.01,3.03,0,3.04
1778362817.7338479,23.23,2.72,0.02,2.71,0,2.73
1778362818.8884006,23.09,2.41,0.01,2.65,0,2.66
1778362820.0429254,23.08,0.67,0.02,3.0,0,3.01
1778362821.2039998,23.23,5.2,0.01,2.65,0,2.66
1778362822.3605082,23.12,0.72,0.01,3.04,0,3.05
1778362823.5155308,23.1,1.11,0.01,3.06,0,3.08
