1778390876.4322023,103.36,103.36,1
1778390878.1769521,103.36,103.36,2
1778390880.0505176,102.92,103.21,3
1778390883.0503864,102.59,103.06,4
1778390884.5551226,103.05,103.06,5
1778390885.8014545,103.21,103.08,6
1778390887.67285,102.85,103.05,7
1778390891.6818855,102.74,103.01,8
1778390892.180919,103.29,103.04,9
1778390894.551816,103.47,103.08,10
1778390908.7574394,103.36,103.36,1
1778390911.1344366,103.19,103.28,2
1778390912.25359,103.16,103.24,3
1778390912.878136,103.13,103.21,4
1778390913.3819087,103.46,103.26,5
1778390914.0050027,103.33,103.27,6
1778390914.6267374,103.25,103.27,7
1778390915.1335442,103.21,103.26,8
1778390915.7550836,103.19,103.25,9
1778390916.2536259,104.87,103.42,10
1778390916.886352,104.16,103.48,11
1778390917.5055346,103.64,103.5,12
1778390918.0132363,103.28,103.48,13
1778390918.632307,103.06,103.45,14
1778390919.2540555,102.93,103.41,15
1778390920.3826375,102.93,103.38,16
1778390921.6277616,102.79,103.35,17
1778390922.1311953,102.99,103.33,18
1778390922.879226,101.53,103.24,19
1778390924.0072513,101.05,103.13,20
1778390925.6315897,101.55,103.05,21
1778390926.2549841,102.37,103.02,22
1778390927.380568,103.2,103.03,23
1778390928.0042448,103.66,103.05,24
1778390928.6300807,102.94,103.05,25
1778390930.2610288,103.03,103.05,26
1778390931.505187,103.16,103.05,27
1778390935.0077968,103.14,103.06,28
1778390935.5137513,103.11,103.06,29
1778390936.7590961,102.79,103.05,30
1778390938.5064178,102.92,103.05,31
1778390940.2580197,103.04,103.04,32
1778390940.761979,103.29,103.05,33
1778390941.388754,102.48,103.04,34
1778390941.890749,103.0,103.03,35
1778390942.515503,102.72,103.03,36
1778390943.134736,102.91,103.02,37
1778390944.8859665,102.99,103.02,38
1778390945.3912382,103.17,103.03,39
1778390946.013334,103.3,103.03,40
1778390947.1332827,104.02,103.06,41
1778390947.6435845,104.57,103.09,42
1778390948.2633567,104.83,103.13,43
1778390950.5130703,105.09,103.18,44
1778390951.7588832,104.95,103.22,45
1778390952.8851538,105.08,103.26,46
1778390953.39035,105.1,103.3,47
1778390954.6352935,104.79,103.33,48
1778390955.7638195,104.48,103.35,49
1778390958.6425326,104.31,103.37,50
1778390962.63986,104.34,103.39,51
1778390963.2730289,103.43,103.39,52
1778390966.1434026,103.3,103.39,53
1778390966.7671092,102.58,103.37,54
1778390967.2715223,102.83,103.36,55
1778390967.893776,102.71,103.35,56
1778390969.142517,102.39,103.33,57
1778390970.2681887,102.27,103.32,58
1778390971.520091,101.79,103.29,59
1778390973.1441245,102.24,103.27,60
1778390973.767341,102.9,103.27,61
1778390975.5230458,102.86,103.26,62
1778390976.1392298,103.15,103.26,63
1778390977.2678816,103.27,103.26,64
1778390977.8913724,103.42,103.26,65
1778390978.5169384,102.53,103.25,66
1778390979.0169365,103.33,103.25,67
1778390979.6420984,102.87,103.25,68
1778390981.8962166,102.99,103.24,69
1778390984.7717674,103.09,103.24,70
1778390985.3916082,103.76,103.25,71
1778390985.8979475,104.5,103.26,72
1778390987.7668006,104.23,103.28,73
1778390988.2706654,103.98,103.29,74
1778390990.021348,103.87,103.3,75
1778390991.2654717,103.56,103.3,76
1778390993.5259905,103.37,103.3,77
1778390998.2693481,103.18,103.3,78
1778391000.5209782,103.28,103.3,79
1778391001.1438606,102.88,103.29,80
1778391002.774987,103.05,103.29,81
1778391004.6415207,103.08,103.29,82
1778391005.1446998,103.48,103.29,83
1778391008.523058,103.74,103.29,84
1778391009.7725596,103.38,103.3,85
1778391010.400712,102.26,103.28,86
1778391011.0214155,101.63,103.26,87
1778391012.7690272,101.74,103.25,88
1778391013.3993945,100.8,103.22,89
1778391014.0244226,99.78,103.18,90
1778391014.6459846,99.09,103.14,91
1778391017.0280814,98.93,103.09,92
1778391018.893379,99.03,103.05,93
1778391020.1453729,98.85,103.0,94
1778391023.2691069,98.6,102.96,95
1778391025.019576,98.6,102.91,96
1778391026.772744,98.76,102.87,97
1778391027.398061,98.82,102.83,98
1778391027.9007707,100.14,102.8,99
1778391029.1477318,100.35,102.78,100
1778391029.652066,101.5,102.76,101
1778391032.1458833,101.44,102.75,102
1778391036.2791321,101.3,102.74,103
1778391038.03034,101.13,102.72,104
1778391038.6548665,100.36,102.7,105
1778391040.4047594,100.42,102.68,106
1778391043.399568,100.62,102.66,107
