1778390663.8398967,82.03,82.03,1
1778390669.4680774,120.19,101.11,2
1778390670.9598677,120.11,107.44,3
1778390672.088663,147.66,117.5,4
1778390672.8390396,147.66,123.53,5
1778390673.335068,147.11,127.46,6
1778390676.8423502,147.45,130.31,7
1778390678.4721687,147.9,132.51,8
1778390679.717098,147.65,134.19,9
1778390680.8464162,148.8,135.66,10
1778390694.0549686,132.51,132.51,1
1778390696.806057,132.24,132.38,2
1778390697.1821492,133.66,132.8,3
1778390697.8032587,131.49,132.48,4
1778390699.058351,131.38,132.26,5
1778390701.9255464,131.16,132.07,6
1778390702.1789343,133.96,132.34,7
1778390708.5535848,133.94,132.54,8
1778390709.4300625,133.71,132.67,9
1778390710.800419,133.98,132.8,10
1778390712.5504901,134.27,132.94,11
1778390713.4302814,134.51,133.07,12
1778390713.805199,136.65,133.34,13
1778390715.9339213,137.21,133.62,14
1778390718.8173003,86.13,130.45,15
1778390720.9327664,86.06,127.68,16
1778390723.6816647,86.14,125.23,17
1778390724.3121393,87.06,123.11,18
1778390724.9350033,88.06,121.27,19
1778390727.0555427,88.21,119.62,20
1778390729.0573077,88.37,118.13,21
1778390729.6885176,88.51,116.78,22
1778390734.4324815,88.64,115.56,23
1778390736.5650184,88.23,114.42,24
1778390737.308792,87.26,113.33,25
1778390738.5601978,87.81,112.35,26
1778390740.6821923,87.75,111.44,27
1778390742.0606248,87.56,110.59,28
1778390743.4379518,87.32,109.79,29
1778390758.4704003,93.96,93.96,1
1778390759.7158785,94.1,94.03,2
1778390760.3404987,94.41,94.16,3
1778390760.9682987,94.43,94.22,4
1778390762.9607544,94.35,94.25,5
1778390764.837481,94.41,94.28,6
1778390765.4628954,94.62,94.33,7
1778390772.967716,94.69,94.37,8
1778390775.5882962,94.78,94.42,9
1778390776.2171097,95.08,94.48,10
1778390778.0893626,95.1,94.54,11
1778390778.7145412,95.19,94.59,12
1778390780.5897777,95.34,94.65,13
1778390781.218248,95.11,94.68,14
1778390783.0973334,94.92,94.7,15
1778390785.7146652,94.89,94.71,16
1778390789.9763174,94.98,94.73,17
1778390791.8467166,95.37,94.76,18
1778390795.7161508,95.43,94.8,19
