1778390324.3115885,107.67,107.67,1
1778390328.1830802,107.72,107.69,2
1778390329.9317262,107.67,107.68,3
1778390331.0669422,139.67,115.68,4
1778390332.3123019,140.17,120.58,5
1778390335.8047538,140.45,123.89,6
1778390336.3058546,139.14,126.07,7
1778390338.3130896,107.67,123.77,8
1778390340.4370317,107.94,122.01,9
1778390342.6846359,108.18,120.63,10
1778390344.3114824,108.47,119.52,11
1778390345.567537,126.05,120.07,12
1778390346.5652487,125.56,120.49,13
1778390347.06727,124.72,120.79,14
1778390347.5634248,124.05,121.01,15
1778390348.19178,121.68,121.05,16
1778390349.0656712,121.26,121.06,17
1778390351.5631564,121.29,121.08,18
1778390352.0627925,121.54,121.1,19
1778390354.558364,121.51,121.12,20
1778390355.06942,119.72,121.05,21
1778390355.5585,120.17,121.01,22
1778390356.0633142,120.69,121.0,23
1778390356.442518,121.22,121.01,24
1778390357.4442494,121.31,121.02,25
1778390357.9431584,121.56,121.04,26
1778390358.445947,121.84,121.07,27
1778390359.4405127,122.03,121.11,28
1778390359.9389257,122.36,121.15,29
1778390360.4385767,122.16,121.18,30
1778390360.9372344,122.57,121.23,31
1778390361.4367876,122.41,121.26,32
1778390374.0813868,86.13,86.13,1
1778390377.573477,86.13,86.13,2
1778390379.5710142,86.52,86.26,3
1778390381.6893454,86.82,86.4,4
1778390389.3165872,86.86,86.49,5
1778390412.7285702,112.35,112.35,1
1778390413.2268395,112.35,112.35,2
1778390415.3446128,112.84,112.51,3
1778390415.9705105,112.11,112.41,4
1778390416.4770315,111.28,112.19,5
1778390421.475393,129.2,115.02,6
1778390425.1048815,129.33,117.06,7
1778390426.1002643,129.4,118.61,8
1778390427.1001189,128.65,119.72,9
1778390429.7270036,129.05,120.65,10
1778390431.0991368,129.93,121.5,11
1778390433.9728515,129.98,122.2,12
1778390434.9730337,129.25,122.75,13
1778390436.2264092,129.62,123.24,14
1778390437.105177,130.21,123.7,15
1778390438.4734495,131.09,124.16,16
1778390443.9776187,131.12,124.57,17
1778390445.9745314,130.51,124.9,18
1778390448.1038172,130.71,125.21,19
1778390448.7255723,128.66,125.38,20
1778390451.483394,128.23,125.52,21
1778390453.732215,128.38,125.65,22
1778390455.6081781,128.44,125.77,23
1778390459.4795737,128.13,125.87,24
1778390461.36584,127.57,125.93,25
1778390466.601133,127.48,125.99,26
1778390466.9832156,126.94,126.03,27
1778390469.3603017,126.85,126.06,28
1778390471.226417,127.33,126.1,29
1778390475.4810681,127.34,126.14,30
1778390476.978243,127.17,126.18,31
1778390479.7292523,127.28,126.21,32
1778390481.9827514,127.61,126.25,33
1778390483.8576508,128.01,126.31,34
1778390491.9820063,127.93,126.35,35
1778390492.8653271,127.07,126.37,36
1778390496.105854,127.43,126.4,37
1778390497.607872,127.13,126.42,38
1778390497.9871366,127.19,126.44,39
1778390499.8653212,127.24,126.46,40
1778390503.7375333,127.03,126.47,41
